cytoband	9p21.3	17p11.2	1p36.11	19p13.3	3p21.2	8p21.2	7q31.33	6q25.3	10p12.31	8p23.1	13q12.11	
							MIR4285	GTF2H5				
							MTRNR2L6	MIR30A				
							MIR3907	MIR30C2				
							MIR3666	OOEP				
							LOC100505483	FAM26F				
							LOC100506585	FLJ46906				
							LOC100507421	LOC441177				
							GIMAP1-GIMAP5	GSTM2P1				
							MIR4653	RFPL4B				
							MIR4468	SNORD101				
							MIR4467	SNORD100				
							LOC100630923	SNORA33				
								C6orf225				
								TSG1				
								LOC643623				
								TRAF3IP2-AS1				
								CTAGE9				
								LOC645434				
								RAET1K				
								MLLT4-AS1				
								SNORA20				
								SNORA29				
								SNORD50B				
								MIR548B				
								LOC728012				
								TPI1P3				
								C6orf186				
								LOC729176				
								LOC729178				
								TMEM242				
								LOC729603				
								HGC6.3				
								LOC100128176				
								BET3L				
								KHDC1L				
								LOC100129518				
								LOC100130890				
								C6orf99				
								LINC00271				
								LOC100132735				
								LOC100287632				
								LOC100288198				
								LOC100289495				
								NHEG1				
								MIR1913				
								MIR2113				
								MIR548H3				
								LOC100422737				
								MIR3145				
								MIR4282				
								MIR3918				
								MIR3939				
								MIR3668				
								MIR3662				
								MIR3692				
								LOC100506804				
								LOC100507203				
								LOC100507254				
								LOC100507462				
								LOC100507489				
								LOC100507557				
								CAHM				
								MIR4464				
								MIR4466				
								MIR4643				
								MIR4465				
								MIR4644				
								LOC100652739				
