cytoband	9p21.3	18q21.2	Xp22.33	17p11.2	19p13.3	Xq28	8p21.2	20p12.2	1p36.13	6p25.2	12p13.33	18q23	8p23.3	
									KIAA1107					
									ZCCHC11					
									SZT2					
									DNAJC16					
									UBR4					
									USP24					
									ATP13A2					
									ITGB3BP					
									TARDBP					
									CELA3B					
									SLC35A3					
									ICMT					
									MACF1					
									LRRC8B					
									LPAR3					
									PADI4					
									DDAH1					
									TMEM50A					
									KPNA6					
									SSBP3					
									STX12					
									CLIC4					
									SYF2					
									RWDD3					
									PARS2					
									MMACHC					
									ZZZ3					
									ACOT11					
									CHD5					
									C1orf144					
									LDLRAP1					
									SERBP1					
									NOC2L					
									PTPN22					
									FBXO2					
									FBXO6					
									PLA2G2D					
									AK5					
									MYCBP					
									HEYL					
									EIF2C1					
									OR4F3					
									SNORA66					
									SNORD45B					
									SNORD45A					
									SNORD55					
									RNU11					
									RNF11					
									FOXD3					
									TRAPPC3					
									HSPB7					
									CHIA					
									ARHGEF16					
									AHDC1					
									TEKT2					
									SMPDL3B					
									ANGPTL3					
									PRO0611					
									LINC00339					
									SSU72					
									GNL2					
									GPSM2					
									UBIAD1					
									ALG6					
									PADI1					
									SLC25A24					
									PLA2G2E					
									DNTTIP2					
									WRAP73					
									SLC45A1					
									HP1BP3					
									TMED5					
									CELA2B					
									ZNF593					
									ZNF691					
									TXNDC12					
									TNNI3K					
									SH3GLB1					
									MECR					
									UTP11L					
									SDF4					
									MRTO4					
									TMEM69					
									MRPL37					
									HOOK1					
									SNX7					
									HPCAL4					
									YTHDF2					
									ZCCHC17					
									TRIM33					
									DPH5					
									HSPB11					
									PADI3					
									CMPK1					
									GPR88					
									ERRFI1					
									WNT4					
									YIPF1					
									FBXO42					
									CCDC76					
									RNF186					
									SPATA6					
									MXRA8					
									L1TD1					
									HES2					
									RSBN1					
									ZNHIT6					
									GPN2					
									LEPROT					
									FBLIM1					
									MED18					
									TRIT1					
									GIPC2					
									PALMD					
									FNBP1L					
									ST7L					
									PQLC2					
									CASZ1					
									RHBDL2					
									ADPRHL2					
									TRNAU1AP					
									C1orf109					
									CPSF3L					
									C1orf123					
									C1orf159					
									AURKAIP1					
									TTC22					
									MRPL20					
									AIM1L					
									TMEM51					
									BSDC1					
									XKR8					
									TMEM39B					
									PRPF38B					
									CDCA8					
									LRRC8D					
									ARHGEF10L					
									PRMT6					
									RNF220					
									VPS13D					
									FAM176B					
									ATAD3A					
									TMEM57					
									TRIM62					
									RAVER2					
									PANK4					
									ECHDC2					
									FGGY					
									MCOLN3					
									CAMK2N1					
									RNPC3					
									ASAP3					
									POMGNT1					
									PNRC2					
									LRRC40					
									DEPDC1					
									PIGV					
									NBPF1					
									MAP7D1					
									TMEM48					
									NECAP2					
									IQCC					
									DNAJC11					
									LRIF1					
									CTTNBP2NL					
									RCC2					
									FAM212B					
									DMAP1					
									AJAP1					
									GNG12					
									TMEM234					
									FAM54B					
									CCBL2					
									TMEM167B					
									OLFML3					
									CTNNBIP1					
									C1orf63					
									AGTRAP					
									PITHD1					
									MAN1C1					
									NIPAL3					
									SEPN1					
									TP73-AS1					
									PLEKHG5					
									AMIGO1					
									LRRC47					
									ODF2L					
									KIAA1324					
									PTCHD2					
									LRRC7					
									KIF17					
									ZSWIM5					
									KIAA1522					
									CACHD1					
									MIER1					
									HES4					
									GRHL3					
									PTBP2					
									DNASE2B					
									DLGAP3					
									IL22RA1					
									HIVEP3					
									GPBP1L1					
									MIIP					
									CELA2A					
									GPATCH3					
									DMRTB1					
									DMRTA2					
									CLSPN					
									PRDM16					
									OXCT2					
									RRAGC					
									ELTD1					
									TINAGL1					
									LEPRE1					
									PLA2G2F					
									HIAT1					
									SMAP2					
									ATPAF1					
									S100PBP					
									MEAF6					
									RBM15					
									DEM1					
									CEP85					
									NMNAT1					
									ELOVL1					
									VWA1					
									DCLRE1B					
									MRPS15					
									PINK1					
									MARCKSL1					
									PRAMEF1					
									PRAMEF2					
									NADK					
									ZNF643					
									SELRC1					
									PHACTR4					
									C1orf135					
									ERI3					
									C1orf50					
									WDR77					
									CCDC28B					
									EFHD2					
									MMEL1					
									RSG1					
									DLEU2L					
									OR4F5					
									NKAIN1					
									EPS8L3					
									MUL1					
									TMEM53					
									AKIRIN1					
									HECTD3					
									BEND5					
									YRDC					
									ZYG11B					
									NOL9					
									PPCS					
									LIN28A					
									SH3D21					
									TTLL7					
									SNIP1					
									AGMAT					
									WDR78					
									ZMYM1					
									LINC00115					
									RPAP2					
									MORN1					
									FAM110D					
									KIAA0319L					
									DHDDS					
									DENND2D					
									WLS					
									GPR157					
									RPF1					
									ZC3H12A					
									SPSB1					
									GLTPD1					
									ZNF436					
									TAS1R2					
									TAS1R1					
									GJA9					
									OR4F16					
									SYNC					
									ACTL8					
									ANKRD13C					
									TSSK3					
									CCNL2					
									ST6GALNAC5					
									HYI					
									SH3BGRL3					
									SESN2					
									ESPN					
									TAS1R3					
									ATAD3B					
									GPR61					
									STK40					
									TM2D1					
									TMEM222					
									PLEKHN1					
									SYDE2					
									ZNF644					
									USP48					
									ZMYND12					
									NBPF3					
									LRRC8C					
									ZDHHC18					
									SGIP1					
									SLC25A33					
									DDI2					
									LZIC					
									PROK1					
									EFCAB7					
									NT5C1A					
									TRIM63					
									PSRC1					
									FAM167B					
									MGC12982					
									C1orf170					
									CROCCP2					
									HPDL					
									AGBL4					
									MFSD2A					
									ATG4C					
									PRPF38A					
									SYTL1					
									IGSF21					
									LSM10					
									C1orf94					
									SNHG12					
									FAM40A					
									DOCK7					
									KIAA1751					
									KIAA2013					
									THAP3					
									C1orf201					
									SPOCD1					
									BTF3L4					
									UBXN11					
									NEXN					
									C1orf158					
									FBXO44					
									ATPIF1					
									SNORD46					
									SNORD38A					
									SNORD38B					
									DNAJA1P5					
									MED8					
									KTI12					
									C1orf212					
									ADC					
									TMEM54					
									HENMT1					
									TOE1					
									ERMAP					
									CSMD2					
									MYSM1					
									CROCCP3					
									FHAD1					
									OSBPL9					
									LOC115110					
									OMA1					
									RAB42					
									LRRC42					
									GBP4					
									GBP5					
									FAM46B					
									RBP7					
									ACAP3					
									SSX2IP					
									UBE2J2					
									OLFM3					
									CCDC163P					
									C1orf172					
									LRRC38					
									AADACL3					
									PUSL1					
									B3GALT6					
									WDR63					
									IFFO2					
									SLC44A3					
									ATXN7L2					
									C1orf194					
									ASB17					
									TYW3					
									C1orf173					
									LRRIQ3					
									TPRG1L					
									FAM213B					
									MYOM3					
									DMBX1					
									TMCO2					
									ZNF684					
									TCEANC2					
									PODN					
									LRRC39					
									GJB4					
									HMGB4					
									RNF19B					
									C1orf122					
									OSCP1					
									C1orf216					
									KLHDC7A					
									VWA5B1					
									UBXN10					
									C1orf87					
									KLF17					
									TMEM125					
									ARHGEF19					
									DRAM2					
									C1orf88					
									C1orf162					
									ACTRT2					
									MIB2					
									SYT6					
									C1orf127					
									SAMD11					
									LOC148413					
									SAMD13					
									C1orf52					
									PHF13					
									TMEM56					
									NBPF4					
									UBE2U					
									SLC30A7					
									CCDC27					
									C1orf213					
									KNCN					
									MOB3C					
									GLIS1					
									MGC27382					
									DCDC2B					
									ZNF362					
									LOC149086					
									MANEAL					
									IL23R					
									PDIK1L					
									CLDN19					
									WDR65					
									C1orf210					
									CCDC24					
									BTBD19					
									CCDC17					
									C1orf64					
									RP11-165H20.1					
									SLC2A7					
									GBP6					
									LPPR5					
									FNDC7					
									CALML6					
									IL28RA					
									CYP4Z2P					
									CITED4					
									FLJ40434					
									C1orf177					
									KANK4					
									SASS6					
									FAM43B					
									HFM1					
									PAQR7					
									UBL4B					
									EIF2C3					
									EIF2C4					
									ALG14					
									FAM76A					
									LINC00466					
									C1orf168					
									TMEM201					
									TMEM61					
									CYP4Z1					
									C1orf86					
									CDCP2					
									SLC5A9					
									CC2D1B					
									TXLNA					
									TCTEX1D1					
									SLFNL1					
									C1orf126					
									HIPK1					
									SLC44A5					
									ATAD3C					
									AKR7L					
									AKR7A2P1					
									FNDC5					
									EPHX4					
									LOC254099					
									TTLL10					
									AKNAD1					
									TMCO4					
									MCOLN2					
									COL24A1					
									PCSK9					
									ST6GALNAC3					
									ZNF683					
									NEGR1					
									MDS2					
									CYP4X1					
									MAGI3					
									NPHP4					
									BEST4					
									FAM19A3					
									CYP4A22					
									C1orf185					
									LOC284551					
									FAM41C					
									FAM102B					
									SYPL2					
									CYB561D1					
									LOC284632					
									RSPO1					
									EPHA10					
									LOC284661					
									ZNF326					
									BTBD8					
									RIMKLA					
									SLC25A34					
									ESPNP					
									PPM1J					
									FAM151A					
									LOC339442					
									C1orf174					
									KLHL17					
									TMEM240					
									TMEM52					
									MTMR9LP					
									ZBTB8OS					
									TFAP2E					
									LOC339505					
									LOC339524					
									C1orf228					
									ZNF642					
									AADACL4					
									PRAMEF5					
									HNRNPCL1					
									PRAMEF9					
									PRAMEF10					
									CCDC18					
									MYBPHL					
									BARHL2					
									HSP90B3P					
									TCTEX1D4					
									SERINC2					
									FAM159A					
									FAM131C					
									PADI6					
									BMP8A					
									C1orf187					
									SPATA21					
									CCDC23					
									ATPAF1-AS1					
									HEATR8					
									FAM73A					
									AGRN					
									APITD1					
									CATSPER4					
									NSUN4					
									GPR153					
									FAM132A					
									HES5					
									LOC388588					
									RNF207					
									TMEM82					
									TRNP1					
									CD164L2					
									LOC388630					
									LDLRAD1					
									GBP7					
									C1orf146					
									FAM69A					
									SLC6A17					
									HES3					
									PRAMEF12					
									PRAMEF21					
									PRAMEF8					
									PRAMEF18					
									PRAMEF17					
									PLA2G2C					
									SKINTL					
									UOX					
									FRRS1					
									TMEM200B					
									PRAMEF4					
									PRAMEF13					
									SH2D5					
									C1orf130					
									LOC400752					
									C1orf141					
									GBP1P1					
									FLJ27354					
									MIR137HG					
									RNF223					
									PRAMEF3					
									LDLRAD2					
									LOC402779					
									MIR101-1					
									MIR137					
									MIR186					
									MIR197					
									MIR200A					
									MIR200B					
									MIR30C1					
									MIR30E					
									MIR34A					
									LHX8					
									C1orf180					
									FLJ42875					
									PRAMEF11					
									PRAMEF6					
									LOC440563					
									UQCRHL					
									MINOS1					
									FLJ32224					
									FAM183A					
									ZYG11A					
									FLJ31662					
									LOC440600					
									BCL2L15					
									ANKRD65					
									PRAMEF7					
									PGCP1					
									GEMIN8P4					
									RBMXL1					
									LURAP1					
									PEF1					
									MIR429					
									CYB5RL					
									FAM138F					
									SRG7					
									CYMP					
									KIAA0754					
									LOC643441					
									LOC643837					
									TMEM88B					
									C1orf233					
									LOC644961					
									C1orf200					
									PRAMEF19					
									PRAMEF20					
									FAM138A					
									LOC646471					
									LOC646626					
									LOC648740					
									LOC649330					
									ZBTB8A					
									NBPF6					
									LOC653160					
									LOC653566					
									PRAMEF22					
									PRAMEF15					
									WASH7P					
									PRAMEF16					
									SCARNA2					
									SCARNA1					
									SNORA44					
									SNORA55					
									SNORA61					
									SNORA59B					
									SNORA59A					
									SNORA16A					
									SNORD45C					
									SNORD85					
									SNORD99					
									SNORD103A					
									SNORD103B					
									MIR548D1					
									MIR551A					
									MIR553					
									ZBTB8B					
									LOC728431					
									PPIEL					
									CCDC30					
									CDK11A					
									SLC35E2B					
									LOC728716					
									RPS15AP10					
									LOC729041					
									LOC729059					
									HSD52					
									PRAMEF14					
									FLJ37453					
									LOC729737					
									OR4F29					
									LOC729970					
									LOC729987					
									MIR760					
									LOC100128071					
									LOC100128787					
									LOC100129046					
									LOC100129138					
									LOC100129196					
									LOC100129269					
									LOC100129534					
									LOC100129620					
									LOC100129924					
									LOC100130197					
									LOC100130417					
									LOC100130557					
									LOC100131060					
									LOC100131564					
									LOC100132062					
									LOC100132287					
									ZRANB2-AS1					
									LOC100132774					
									LOC100133331					
									LOC100133445					
									LOC100133612					
									DDX11L1					
									LOC100287722					
									TTC34					
									LOC100288069					
									LOC100289178					
									MIR1976					
									MIR1262					
									MIR761					
									NPPA-AS1					
									MIR3115					
									MIR3117					
									MIR4255					
									MIR4253					
									MIR4251					
									MIR4252					
									MIR4256					
									MIR4254					
									MIR3659					
									MIR3917					
									MIR3605					
									MIR3671					
									MIR548AA1					
									MIR3675					
									LOC100505768					
									ENO1-AS1					
									ZMYM6NB					
									LOC100506343					
									LOC100506730					
									LOC100506801					
									LOC100506963					
									LOC100507178					
									LOC100507423					
									LOC100507564					
									LOC100507634					
									APITD1-CORT					
									FPGT-TNNI3K					
									GJA9-MYCBP					
									HEATR8-TTC4					
									TMEM56-RWDD3					
									C1orf151-NBL1					
									MIR4695					
									MIR4420					
									MIR4422					
									MIR4781					
									MIR4794					
									MIR4684					
									MIR4711					
									MIR4689					
									MIR4632					
									MIR2682					
									MIR4423					
									MIR4417					
									MIR378F					
									RCAN3AS					
									NEGR1-IT1					
									ZRANB2-AS2					
